"dem_share","yes_share","place","recent_lpw"
0.201986754966887,0.351351351351351,"Alaska",TRUE
0.203821656050955,0.426373626373626,"Alaska",TRUE
0.228381374722838,0.445205479452055,"Alaska",TRUE
0.193158953722334,0.310483870967742,"Alaska",TRUE
0.146814404432133,0.283625730994152,"Alaska",TRUE
0.202702702702703,0.348694316436252,"Alaska",TRUE
0.216704288939052,0.310904872389791,"Alaska",TRUE
0.108910891089109,0.242021276595745,"Alaska",TRUE
0.144444444444444,0.341040462427746,"Alaska",TRUE
0.0916380297823597,0.254480286738351,"Alaska",TRUE
0.156275976724855,0.296137339055794,"Alaska",TRUE
0.222222222222222,0.340425531914894,"Alaska",TRUE
0.173,0.304259634888438,"Alaska",TRUE
0.175438596491228,0.321755027422303,"Alaska",TRUE
