,,,Question 1: Citizen Initiative,,,Question 2: Citizen Initiative,,,Question 3: Citizen Initiative,,,Question 4: Citizen Initiative,,,Question 5: Citizen Initiative,,,Question 6:  Bond Issue,,,Total Ballots Cast,,,,,,,,
CTY,,MUNICIPALITY,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,,,,,,,,,
ARO,,E TWP,12,21,2,13,21,1,8,27,0,14,21,0,14,21,0,14,21,0,35,,,,,,,,
ARO,,TD R2 WELS,3,1,0,4,0,0,0,4,0,2,2,0,2,1,1,3,1,0,4,,,,,,,,
ARO,,CARIBOU,"1,510","2,523",56,"2,171","1,836",82,"1,700","2,332",57,"2,185","1,836",68,"1,805","2,139",145,"2,318","1,627",144,"4,089",,,,,,,,
ARO,,CARY PLT,36,81,1,54,63,1,21,97,0,58,57,3,42,72,4,43,74,1,118,,,,,,,,
ARO,,CASTLE HILL,78,152,4,113,116,5,67,163,4,115,114,5,90,136,8,115,111,8,234,,,,,,,,
ARO,,CASWELL,53,95,1,84,62,3,49,97,3,92,56,1,53,88,8,91,54,4,149,,,,,,,,
ARO,,CHAPMAN,109,164,6,136,138,5,64,210,5,130,144,5,118,152,9,137,128,14,279,,,,,,,,
ARO,,CROSS LAKE TWP (T17 R5),47,74,0,69,51,1,52,69,0,69,51,1,53,63,5,81,39,1,121,,,,,,,,
ARO,,CRYSTAL,58,90,1,67,80,2,37,111,1,64,84,1,58,86,5,76,68,5,149,,,,,,,,
ARO,,CYR PLT,22,31,0,29,24,0,12,40,1,31,21,1,19,30,4,29,23,1,53,,,,,,,,
ARO,,T11 R4 WELS TWP,17,7,0,16,8,0,5,19,0,17,7,0,9,14,1,16,8,0,24,,,,,,,,
ARO,,DYER BROOK,41,107,2,65,83,2,27,121,2,66,78,6,59,85,6,68,77,5,150,,,,,,,,
ARO,,EAGLE LAKE,173,288,22,272,191,20,198,261,24,300,159,24,233,213,37,286,162,35,483,,,,,,,,
ARO,,EASTON,234,439,16,295,373,21,173,501,15,308,361,20,265,395,29,336,327,26,689,,,,,,,,
ARO,,T15 R6 TWP,1,8,0,5,4,0,2,7,0,4,5,0,5,4,0,7,2,0,9,,,,,,,,
