Locality,Ward,Pct,Yes,No,Blanks,"Total Votes Cast"
Gardner,4,B,273,406,24,703
Gardner,5,A,280,546,32,858
Gardner,5,B,376,744,25,"1,145"
Grafton,-,1,794,"1,368",64,"2,226"
Grafton,-,2,969,"1,293",79,"2,341"
Grafton,-,3,"1,013","1,316",72,"2,401"
Grafton,-,4,865,"1,196",71,"2,132"
Grafton,-,5,956,"1,398",77,"2,431"
Hardwick,-,1,487,998,49,"1,534"
Harvard,-,1,"2,322","1,700",135,"4,157"
Holden,-,1,909,"1,459",97,"2,465"
Holden,-,2,894,"1,575",98,"2,567"
Holden,-,3,904,"1,293",74,"2,271"
Holden,-,4,"1,045","1,684",114,"2,843"
Holden,-,5,890,"1,585",115,"2,590"
Hopedale,-,1,"1,402","2,222",177,"3,801"
Hubbardston,-,1,935,"1,920",88,"2,943"
Lancaster,-,1,850,"1,201",51,"2,102"
Lancaster,-,2,856,"1,371",55,"2,282"
Leicester,-,1,515,"1,130",39,"1,684"
Leicester,-,2,493,"1,040",60,"1,593"
Leicester,-,3,484,"1,060",50,"1,594"
Leicester,-,4,489,"1,047",46,"1,582"
Leominster,1,A,626,"1,061",66,"1,753"
Leominster,1,B,495,"1,118",46,"1,659"
Leominster,1,C,540,729,74,"1,343"
Leominster,2,A,419,613,67,"1,099"
Leominster,2,B,515,786,55,"1,356"
Leominster,2,C,326,472,37,835
Leominster,3,A,406,687,37,"1,130"
Leominster,3,B,578,"1,133",74,"1,785"
Leominster,3,C,681,"1,162",82,"1,925"
Leominster,4,A,566,"1,143",46,"1,755"
Leominster,4,B,578,"1,062",76,"1,716"
Leominster,4,C,465,757,62,"1,284"
Leominster,5,A,495,771,66,"1,332"
Leominster,5,B,563,935,77,"1,575"
Leominster,5,C,434,626,67,"1,127"
Lunenburg,-,A,692,"1,081",50,"1,823"
Lunenburg,-,B,660,984,38,"1,682"
Lunenburg,-,C,737,"1,201",52,"1,990"
Lunenburg,-,D,734,947,48,"1,729"
Mendon,-,1,"1,433","2,455",106,"3,994"
Milford,-,1,447,649,53,"1,149"
Milford,-,2,656,975,89,"1,720"
Milford,-,3,684,"1,056",94,"1,834"
Milford,-,4,531,713,79,"1,323"
Milford,-,5,860,"1,538",114,"2,512"
Milford,-,6,669,"1,109",78,"1,856"
Milford,-,7,809,"1,360",68,"2,237"
Milford,-,8,760,"1,184",101,"2,045"
Millbury,-,1,635,"1,295",85,"2,015"
Millbury,-,2,658,"1,513",88,"2,259"
Millbury,-,3,653,"1,240",92,"1,985"
Millbury,-,4,689,"1,192",73,"1,954"
Millville,-,1,607,"1,161",88,"1,856"
"New Braintree",-,1,174,469,33,676
"N. Brookfield",-,1,782,"1,804",145,"2,731"
Northborough,-,1,"1,073","1,278",98,"2,449"
Northborough,-,2,"1,034","1,249",81,"2,364"
Northborough,-,3,"1,084","1,237",107,"2,428"
Northborough,-,4,"1,122","1,304",79,"2,505"
Northbridge,-,1,737,"1,459",99,"2,295"
Northbridge,-,2,716,"1,517",111,"2,344"
Northbridge,-,3,650,"1,215",113,"1,978"
Northbridge,-,4,803,"1,769",115,"2,687"
Oakham,-,1,328,868,66,"1,262"
Oxford,-,1,606,"1,287",78,"1,971"
Oxford,-,2,571,"1,223",62,"1,856"
Oxford,-,3,602,"1,335",67,"2,004"
Oxford,-,4,590,"1,112",74,"1,776"
Paxton,-,1,981,"1,861",133,"2,975"
Petersham,-,1,338,498,44,880
Phillipston,-,1,334,731,38,"1,103"
Princeton,-,1,"1,103","1,412",76,"2,591"
Royalston,-,1,158,290,23,471
Royalston,-,2,110,198,8,316
Rutland,-,1,586,"1,317",77,"1,980"
Rutland,-,2,619,"1,308",80,"2,007"
Rutland,-,3,543,"1,120",52,"1,715"
Shrewsbury,-,1,973,"1,426",90,"2,489"
Shrewsbury,-,2,858,"1,178",114,"2,150"
Shrewsbury,-,3,709,938,74,"1,721"
Shrewsbury,-,4,893,"1,186",82,"2,161"
Shrewsbury,-,5,788,960,64,"1,812"
Shrewsbury,-,6,900,"1,188",105,"2,193"
Shrewsbury,-,7,"1,081","1,459",91,"2,631"
Shrewsbury,-,8,972,"1,388",129,"2,489"
Shrewsbury,-,9,663,813,61,"1,537"
Shrewsbury,-,10,966,"1,083",88,"2,137"
Southborough,-,1,"1,176","1,036",82,"2,294"
Southborough,-,2,"1,080","1,005",70,"2,155"
Southborough,-,3,"1,175","1,020",73,"2,268"
Southbridge,-,1,542,798,112,"1,452"
Southbridge,-,2,466,730,84,"1,280"
Southbridge,-,3,465,927,91,"1,483"
Southbridge,-,4,607,"1,172",112,"1,891"
Southbridge,-,5,484,625,94,"1,203"
Spencer,-,1,436,"1,044",68,"1,548"
Spencer,-,2,479,"1,015",43,"1,537"
Spencer,-,3,437,"1,133",75,"1,645"
Spencer,-,4,575,"1,112",50,"1,737"
Sterling,-,1,928,"1,613",104,"2,645"
Sterling,-,2,995,"1,751",99,"2,845"
Sturbridge,-,1,772,"1,197",62,"2,031"
Sturbridge,-,2,756,"1,350",47,"2,153"
Sturbridge,-,3,638,"1,207",64,"1,909"
Sutton,-,1,732,"1,439",119,"2,290"
Sutton,-,2,617,"1,279",97,"1,993"
Sutton,-,3,671,"1,312",86,"2,069"
Templeton,-,A,479,"1,160",67,"1,706"
Templeton,-,B,417,987,56,"1,460"
Templeton,-,C,392,889,66,"1,347"
Upton,-,1,"1,064","1,574",113,"2,751"
Upton,-,2,"1,004","1,494",79,"2,577"
Uxbridge,-,1,613,"1,483",76,"2,172"
Uxbridge,-,2,695,"1,338",100,"2,133"
Uxbridge,-,3,645,"1,435",102,"2,182"
Uxbridge,-,4,721,"1,468",96,"2,285"
Warren,-,A,567,"1,228",147,"1,942"
Warren,-,B,186,456,44,686
Webster,-,1,501,950,67,"1,518"
Webster,-,2,446,614,54,"1,114"
Webster,-,3,453,"1,006",54,"1,513"
Webster,-,4,626,"1,618",111,"2,355"
Webster,-,5,570,"1,181",95,"1,846"
"W. Boylston",-,1,662,"1,277",83,"2,022"
"W. Boylston",-,2,"1,022","1,683",119,"2,824"
"W. Brookfield",-,1,662,"1,575",96,"2,333"
Westborough,-,1,699,774,101,"1,574"
Westborough,-,2,789,830,69,"1,688"
Westborough,-,3,"1,000","1,011",84,"2,095"
Westborough,-,4,"1,301","1,336",118,"2,755"
Westborough,-,5,"1,163","1,329",94,"2,586"
Westminster,-,1,906,"1,707",88,"2,701"
Westminster,-,2,907,"1,635",90,"2,632"
Winchendon,-,1,371,847,31,"1,249"
Winchendon,-,1A,127,232,12,371
Winchendon,-,2,570,"1,177",46,"1,793"
Winchendon,-,3,543,"1,164",68,"1,775"
Worcester,1,1,973,"1,224",149,"2,346"
Worcester,1,2,879,"1,388",164,"2,431"
Worcester,1,3,530,681,86,"1,297"
Worcester,1,4,"1,165","1,042",134,"2,341"
Worcester,1,5,827,"1,092",165,"2,084"
Worcester,2,1,851,"1,163",136,"2,150"
Worcester,2,2,846,"1,131",105,"2,082"
Worcester,2,3,814,"1,033",90,"1,937"
Worcester,2,4,705,689,205,"1,599"
Worcester,2,5,413,306,95,814
Worcester,3,1,727,698,107,"1,532"
Worcester,3,2,273,156,46,475
Worcester,3,3,573,660,121,"1,354"
Worcester,3,4,502,420,106,"1,028"
Worcester,3,5,725,694,125,"1,544"
Worcester,4,1,467,404,107,978
Worcester,4,2,602,614,100,"1,316"
Worcester,4,3,653,425,138,"1,216"
Worcester,4,4,602,676,116,"1,394"
Worcester,4,5,742,789,154,"1,685"
Worcester,5,1,585,520,113,"1,218"
Worcester,5,2,694,857,183,"1,734"
Worcester,5,3,813,"1,201",102,"2,116"
Worcester,5,4,716,973,118,"1,807"
Worcester,5,5,686,957,137,"1,780"
Worcester,6,1,402,339,100,841
Worcester,6,2,563,481,136,"1,180"
Worcester,6,3,533,539,126,"1,198"
Worcester,6,4,264,278,36,578
Worcester,6,5,668,763,144,"1,575"
Worcester,7,1,775,780,139,"1,694"
Worcester,7,2,512,551,131,"1,194"
Worcester,7,3,710,795,198,"1,703"
Worcester,7,4,626,820,154,"1,600"
Worcester,7,5,667,965,113,"1,745"
Worcester,8,1,382,365,107,854
Worcester,8,2,381,337,91,809
Worcester,8,3,363,187,57,607
Worcester,8,4,431,392,226,"1,049"
Worcester,8,5,474,472,81,"1,027"
Worcester,9,1,901,761,109,"1,771"
Worcester,9,2,"1,018",918,144,"2,080"
Worcester,9,3,670,749,103,"1,522"
Worcester,9,4,886,"1,069",138,"2,093"
Worcester,9,5,915,"1,070",157,"2,142"
Worcester,10,1,472,306,166,944
Worcester,10,2,559,333,100,992
Worcester,10,3,399,298,180,877
Worcester,10,4,357,275,131,763
Worcester,10,5,454,322,124,900
TOTALS,,,"1,549,919","1,877,447","230,639","3,658,005"
